category	id	term	display_term	id_hierarchy	ontology_link_exact	ontology_link_related	crossref_wikipedia	host_ncbi_taxonomy_id	crosslink_term	hex_colour	text colour	definition	comment
aquatic	MICRONT:02010200	aquatic:fresh water:fluvial	stream	MICRONT:02000000;MICRONT:02010000		ENVO:01000253	https://en.wikipedia.org/wiki/Stream		MICRONT:09010101;MICRONT:02060200	#86aba5	#f0f0f0	A lotic (flowing) water body containing predominantly fresh water. Includes streams and rivers.	Note: saline (and other non-fresh water) streams are not included under this term, nor are springs; in MICRONT, these would be described as lotic water body (MICRONT:02060200) with the appropriate qualifiers
aquatic	MICRONT:02010201	aquatic:fresh water:fluvial:stream bed	stream bed	MICRONT:02000000;MICRONT:02010000;MICRONT:02010200		ENVO:00000383	https://en.wikipedia.org/wiki/Stream_bed		MICRONT:09010101;MICRONT:02060200;MICRONT:02070200;MICRONT:02080300	#688c86	#f0f0f0	Ground surface, interface and benthic layer of a fluvial (lotic) fresh water body.  	In MICRONT, this term encompasses the water layer immediately above the solid ground layer. It is also restricted to fresh water systems; other stream beds are described via a combination of appropriate terms (e.g., lotic water body and benthic)
aquatic	MICRONT:02020000	aquatic:marine	marine	MICRONT:02000000	ENVO:00000447	ENVO:01001788;ENVO:00001999	https://en.wikipedia.org/wiki/Ocean			#009dc4	#f0f0f0	An aquatic ecosystem primarily determined by marine (ocean or sea) water. This ranges from littoral/coastal to open ocean habitats, as well as from surface water to seafloor.	Note: while most marine waters are saline (e.g., meet the criteria for high salinity, MICRONT:09010103), many marine habitats are indeed dominated by medium salinity (brackish) or very high salinity (briny) water.
aquatic	MICRONT:02020100	aquatic:marine:sea floor	sea floor	MICRONT:02000000;MICRONT:02020000	ENVO:00000482		https://en.wikipedia.org/wiki/Seabed		MICRONT:02080300	#001a20	#f0f0f0	Ground surface, interface and immediate benthic layer at the bottom of a marine water body	
aquatic	MICRONT:02030000	aquatic:spring	spring	MICRONT:02000000	ENVO:00000027		https://en.wikipedia.org/wiki/Spring_(hydrology)		MICRONT:02060200	#2e6fff	#f0f0f0	A ground surface feature where water can flow out of the ground. Includes terrestrial springs, as well as aquatic features (such as underwater seeps or vents)	
aquatic	MICRONT:02030100	aquatic:spring:hot spring	hot spring	MICRONT:02000000;MICRONT:02030000	ENVO:00000051		https://en.wikipedia.org/wiki/Hot_spring		MICRONT:02060200;MICRONT:09010205	#542788	#f0f0f0	A terrestrial spring where hot (geothermally heated) water flows from the ground.	
aquatic	MICRONT:02030200	aquatic:spring:hydrothermal vent	hydrothermal vent	MICRONT:02000000;MICRONT:02030000	ENVO:00000215		https://en.wikipedia.org/wiki/Hydrothermal_vent		MICRONT:02080300;MICRONT:02060200;MICRONT:02020100;MICRONT:09010205	#3a243b	#f0f0f0	A marine spring where hot (geothermally heated) water flows from fissures in the seafloord.	
aquatic	MICRONT:02030300	aquatic:spring:seep	seep	MICRONT:02000000;MICRONT:02030000		ENVO:01000262			MICRONT:02060200	#afeeee	#252525	A spring where water emerges through permeable ground layers. Includes cold seeps (at ocean floors) and terrestrial seeps (often associated with wetlands).	
aquatic	MICRONT:02040100	aquatic:brackish water	brackish	MICRONT:02000000	ENVO:01000322	ENVO:00002019	https://en.wikipedia.org/wiki/Brackish_water		MICRONT:09010102	#5a5d4b	#f0f0f0	An aquatic ecosystem determined by water of intermediate (medium) salinity, broadly in the range of 0.5-30ppt	medium salinity (0.5-30ppt)
aquatic	MICRONT:02040101	aquatic:brackish water:estuary	estuary	MICRONT:02000000;MICRONT:02040100	ENVO:01000020		https://en.wikipedia.org/wiki/Estuary		MICRONT:09010102	#70a5b7	#252525	An aquatic ecosystem at the interface at stream mouths, i.e. the outflow of streams into the sea. Generally determined by brackish water, or the (tidal) mixing of saline and fresh water.	
aquatic	MICRONT:02040200	aquatic:saline water	saline	MICRONT:02000000	ENVO:01000307	ENVO:00002010	https://en.wikipedia.org/wiki/Saline_water		MICRONT:09010103	#65b4b2	#f0f0f0	An aquatic ecosystem determined by water of high salinity, i.e. in the range of 30-50ppt	high salinity (30-50 ppt)
aquatic	MICRONT:02040300	aquatic:briny water	brine	MICRONT:02000000		ENVO:00003044	https://en.wikipedia.org/wiki/Brine		MICRONT:09010104	#175456	#f0f0f0	An aquatic habitat determined by water of very high, including near-saturating, concentrations of salt (>=50 ppt)	very high salinity (>=50 ppt)
aquatic	MICRONT:02050000	aquatic:ice	ice	MICRONT:02000000	ENVO:01000277		https://en.wikipedia.org/wiki/Ice		MICRONT:09010201	#deebf7	#252525	A habitat determined by water that is frozen solid.	
aquatic	MICRONT:02060100	aquatic:lentic	lentic water body	MICRONT:02000000	ENVO:01000617					#148abe	#f0f0f0	A still (non-flowing) water body	
aquatic	MICRONT:02060200	aquatic:lotic	lotic water body	MICRONT:02000000	ENVO:01000618					#99CCCC	#252525	A water body with (directed) flow)	
aquatic	MICRONT:02070100	aquatic:groundwater	groundwater	MICRONT:02000000		ENVO:01001004	https://en.wikipedia.org/wiki/Groundwater		MICRONT:01030000;MICRONT:02010000	#187187	#f0f0f0	Water contained in (subsurface) rock pores or deposits.	In MICRONT, this term also more broadly includes aquifers.
aquatic	MICRONT:02070200	aquatic:sediment	sediment	MICRONT:02000000		ENVO:00002007	https://en.wikipedia.org/wiki/Sediment		MICRONT:02080300	#002d39	#f0f0f0	Deposits formed at the bottom of water bodies via the deposition (sedimentation) of particles from the liquid phase.	In MICRONT, this term specifically refers to sediments in extant water bodies, not to remnant sediments that resulted from former (e.g., dried up) water bodies.
aquatic	MICRONT:02080100	aquatic:littoral	littoral	MICRONT:02000000		ENVO:01000407	https://en.wikipedia.org/wiki/Littoral_zone			#99f3ff	#252525	Near-shore (coastal) zone of a water body, at the terrestrial-aquatic interface; includes near-shore terrestrial zone as well (i.e., zones that are occasionally inundated and/or directly influenced by the adjacent water body)	In MICRONT, this term includes both the aquatic and terrestrial near-shore zone.
aquatic	MICRONT:02080200	aquatic:pelagic	pelagic	MICRONT:02000000		ENVO:01000023	https://en.wikipedia.org/wiki/Pelagic_zone			#16d0ff	#252525	Open water zone of a water body, neither near the shore nor near the bed.	In MICRONT, this term is used as a qualifier and can be used to describe either marine or lake pelagic waters.
aquatic	MICRONT:02080201	aquatic:pelagic:epipelagic	epipelagic	MICRONT:02000000;MICRONT:02080200		ENVO:01000035	https://en.wikipedia.org/wiki/Photic_zone			#a1ecff	#252525	Topmost layer of a water body, extending from the surface to around 200m depth, i.e. as deep as sunlight penetrates to a degree that allows photosynthesis	
aquatic	MICRONT:02080202	aquatic:pelagic:mesopelagic	mesopelagic	MICRONT:02000000;MICRONT:02080200		ENVO:01000036	https://en.wikipedia.org/wiki/Mesopelagic_zone			#47daff	#252525	Twilight zone of a water body where <1% of sunlight penetrates, extending roughly from 200-1000m depth	
aquatic	MICRONT:02080203	aquatic:pelagic:bathypelagic	bathypelagic	MICRONT:02000000;MICRONT:02080200	ENVO:01000037		https://en.wikipedia.org/wiki/Bathypelagic_zone			#00627a	#f0f0f0	Midnight zone of open ocean water, extending from depths of 1000-2500m (only few lakes are in this depth range)	
aquatic	MICRONT:02080204	aquatic:pelagic:abyssal	abyssal	MICRONT:02000000;MICRONT:02080200	ENVO:01000038		https://en.wikipedia.org/wiki/Abyssal_zone			#002e39	#f0f0f0	Deep marine open water layer extending from a depth of 2500m to roughly 6000m, or to within 100m of the seafloor	
aquatic	MICRONT:02080205	aquatic:pelagic:hadal	hadal	MICRONT:02000000;MICRONT:02080200	ENVO:01000039	ENVO:00000214	https://en.wikipedia.org/wiki/Hadal_zone			#000708	#f0f0f0	Open water within deep marine trenches, at depths >6000m	
aquatic	MICRONT:02080300	aquatic:benthic	benthic	MICRONT:02000000		ENVO:01000024	https://en.wikipedia.org/wiki/Benthic_zone			#004151	#f0f0f0	The bottom layer of a water body, close to its bed and including the upper layers of the ground that are directly influenced by the water body above.	
aquatic	MICRONT:02090000	aquatic:paludal	paludal	MICRONT:02000000		ENVO:00000043			MICRONT:01020700;MICRONT:02060100	#097a92	#f0f0f0	The aquatic part of a wetland ecosystem	In MICRONT, paludal is used as an extra qualifier to specifically refer to the aquatic part (i.e., not the sediment or soil) of a wetland ecosystem.
host-associated	MICRONT:03000000	host-associated	host-associated				https://en.wikipedia.org/wiki/Host_(biology)			#c51b7d	#f0f0f0	A microbial habitat that is directly determined by a host organism in terms of physical, abiotic and biotic parameters.	In MICRONT, host-association is considered based on physical (growth on, in or in direct proximity to the host) and biotic/metabolic (growth directly depending on conditions determined by the host) parameters. Only multicellular eukaryotes are considered as host organisms; associations among bacteria, archaea and unicellular eukaryotes (even including intracellular growth) are not included under this umbrella term. A host-associated lifestlye is considered as opposed to a free-living lifestyle.
host-associated	MICRONT:03010000	host-associated:plant host	plant host	MICRONT:03000000	ENVO:01001001		https://en.wikipedia.org/wiki/Viridiplantae	33090		#62BD69	#252525	A habitat directly determined by a green plant host (NCBI tax ID 33090, Viridiplantae).	In MICRONT, host-association is considered based on physical (growth on, in or in direct proximity to the host) and biotic/metabolic (growth directly depending on conditions determined by the host) parameters. Plant-associated habitats do not include plant-derived products, such as foods (fruit, etc.), wood or processed products (such as paper, etc).
host-associated	MICRONT:03010100	host-associated:plant host:rhizosphere	rhizosphere	MICRONT:03000000;MICRONT:03010000		ENVO:00005801;PO:0009005	https://en.wikipedia.org/wiki/Rhizosphere			#30694B	#f0f0f0	A habitat directly determined by plant roots, encompassing both root tissues (i.e., the endorhizosphere) and the region directly adjacent to roots which is influenced by plant secretions.	In MICRONT, a broad definition is used to include both the roots themselves and the region immediately adjacent. Elsewhere, rhizosphere is often defined more narrowly to only include root-adjacent soil or substrate (e.g. ENVO:00005801)
host-associated	MICRONT:03010200	host-associated:plant host:phyllosphere	phyllosphere	MICRONT:03000000;MICRONT:03010000		PO:0006001	https://en.wikipedia.org/wiki/Phyllosphere			#4a7c59	#f0f0f0	A habitat directly determined by non-root parts of a plant, e.g. above-ground tissues like leaves and flowers, but also the stem.	
host-associated	MICRONT:03010300	host-associated:plant host:plant litter	plant litter	MICRONT:03000000;MICRONT:03010000	ENVO:01000628		https://en.wikipedia.org/wiki/Plant_litter			#708C50	#252525	Dead plant material (primarily leaves, bark, twigs, etc) that has fallen to the ground.	Does not include (dropped) fruit.
host-associated	MICRONT:03020000	host-associated:animal host	animal host	MICRONT:03000000	ENVO:01001002		https://en.wikipedia.org/wiki/Animal	33208		#de77ae	#252525	A habitat directly determined by an animal host (NCBI tax ID 33208, Metazoa).	In MICRONT, host-association is considered based on physical (growth on, in or in direct proximity to the host) and biotic/metabolic (growth directly depending on conditions determined by the host) parameters. Animal-associated environments do not include animal-derived products, like food products (dairy, meat, etc) or processed products such as leather, etc.
host-associated	MICRONT:03020100	host-associated:animal host:mammalian host	mammalian host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Mammal	40674		#f1b6da	#252525	A habitat directly determined by a mammalian host (NCBI tax ID 40674, Mammalia)	
host-associated	MICRONT:03020101	host-associated:animal host:mammalian host:porcine host	porcine host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100			https://en.wikipedia.org/wiki/Suidae	9821		#fde0ef	#252525	A habitat directly determined by a porcine host (NCBI tax ID 40674, Suidae, i.e. swine)	Suidae correspond to swine, including pigs, hogs, etc.
host-associated	MICRONT:03020110	host-associated:animal host:mammalian host:primate host	primate host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100			https://en.wikipedia.org/wiki/Primate	9443		#743b41	#f0f0f0	A habitat directly determined by a primate host (NCBI tax ID 9443, Primates)	This includes lemurs, monkeys, apes (including humans), etc.
host-associated	MICRONT:03020111	host-associated:animal host:mammalian host:primate host:human host	human host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020110			https://en.wikipedia.org/wiki/Human	9606		#9E1C60	#f0f0f0	A habitat directly determined by a human host (NCBI tax ID 9606, Homo sapiens)	
host-associated	MICRONT:03020120	host-associated:animal host:mammalian host:ruminant host	ruminant host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100			https://en.wikipedia.org/wiki/Ruminant	9845		#c8ccb0	#252525	A habitat directly determined by a ruminant host (NCBI tax ID 9845, Ruminantia)	Includes herbivores whose digestive system includes a rumen, but the definition is based on taxonom (suborder Ruminantia). Members include cervids (deer), bovids (like cattle, sheep, goats and antelopes), and giraffes.
host-associated	MICRONT:03020121	host-associated:animal host:mammalian host:ruminant host:bovine host	bovine host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020120			https://en.wikipedia.org/wiki/Bovinae	27592		#A0522D	#f0f0f0	A habitat directly determined by a bovine host (NCBI tax ID 27592, Bovinae).	Includes cattle, bison, buffalo and certain types of antelopes.
host-associated	MICRONT:03020122	host-associated:animal host:mammalian host:ruminant host:cervid host	cervid host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020120			https://en.wikipedia.org/wiki/Deer	9850		#c08552	#252525	A habitat direclty determined by a cervid host (NCBI tax ID 9850, Cervidae, i.e. deer)	
host-associated	MICRONT:03020123	host-associated:animal host:mammalian host:ruminant host:ovine host	ovine host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020120			https://en.wikipedia.org/wiki/Ovis	9935		#fbffdc	#252525	A habitat directly determined by an ovine host (NCBI tax ID 9935, genus Ovis, i.e. sheep)	
host-associated	MICRONT:03020124	host-associated:animal host:mammalian host:ruminant host:caprine host	caprine host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020120			https://en.wikipedia.org/wiki/Capra_(genus)	9922		#d4d6c7	#252525	A habitat direclty determined by a caprine host (NCBI tax ID 9922, genus Capra, i.e. goats iand ibex, but not including other caprines like sheep etc)	
host-associated	MICRONT:03020130	host-associated:animal host:mammalian host:carnivore host	carnivore host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100			https://en.wikipedia.org/wiki/Carnivora	33554		#ff7f7f	#252525	A habitat directly determined by a carnivore host (NCBI tax ID 33554, Carnivora)	Definition is based on phylogeny, not on carnivorous dietary habits, although most Carnivora are indeed carnivorous. Group includes dogs, cats, bears, seals, otters, etc
host-associated	MICRONT:03020131	host-associated:animal host:mammalian host:carnivore host:canine host	canine host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020130			https://en.wikipedia.org/wiki/Canidae	9608		#e5cd6c	#252525	A habitat directly determined by a canine host (NCBI tax ID 9608, Canidae)	Includes dogs, wolves, coyotes and foxes. Note: tax ID more broadly corresponds to family Canidae, but only extant subfamily are Caninae.
host-associated	MICRONT:03020132	host-associated:animal host:mammalian host:carnivore host:feline host	feline host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020130			https://en.wikipedia.org/wiki/Felidae	9681		#B89B83	#f0f0f0	A habitat direclty determined by a feline host (NCBI tax ID 9681, Felidae)	Includes cats and panthers. Note: tax ID more broadly corresponds to family Felidae, but only extant subfamily is Felinae (which includes cats and panthers).
host-associated	MICRONT:03020133	host-associated:animal host:mammalian host:carnivore host:ursine host	ursine host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020100;MICRONT:03020130			https://en.wikipedia.org/wiki/Bear	9632		#4d2b12	#f0f0f0	A habitat directly determined by an ursine host (NCBI tax ID 9632, Ursidae, i.e. bears)	Note: family Ursidae includes bears (Ursinae), as well as short-faced bears and pandas.
host-associated	MICRONT:03020200	host-associated:animal host:reptilian host	reptilian host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Reptile	32561		#6fb17e	#252525	A habitat direclty determined by a reptilian host (NCBI tax ID 32561, Sauria; see comment)	Given unclear taxonomy of the group Reptilia, the NCBI taxonomy is used where tax ID Sauria includes all reptilian groups, including birds.
host-associated	MICRONT:03020210	host-associated:animal host:reptilian host:avian host	avian host	MICRONT:03000000;MICRONT:03020000;MICRONT:03020200			https://en.wikipedia.org/wiki/Bird	8782		#f5c501	#252525	A habitat directly determined by an avian host (NCBI tax ID 8782, Aves, i.e. birds)	
host-associated	MICRONT:03020300	host-associated:animal host:insect host	insect host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Insect	50557		#725770	#f0f0f0	A habitat directly determined by an insect host (NCBI tax ID 50557, Insecta)	
host-associated	MICRONT:03020301	host-associated:animal host:tick host	tick host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Tick	6935	MICRONT:01000000	#504244	#f0f0f0	A habitat directly determined by a tick host (NCBI tax ID 69335, Ixodida)	
host-associated	MICRONT:03020400	host-associated:animal host:fish host	fish host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Actinopterygii	7898	MICRONT:02000000	#0143cd	#f0f0f0	A habitat direcly determined by a ray-finned fish host (NCBI tax ID 7898, Actinopterygii; see comment)	Includes ray-finned fishes, but neither cartilaginous fishes (like sharks, rays) nor Sarcopterygii (which would include lungfish and extant groups mammals, reptiles and amphibians and therefore introduce unintended annotations with misleading ecological implications)
host-associated	MICRONT:03020500	host-associated:animal host:mollusc host	mollusc host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Mollusca	6447		#847c80	#f0f0f0	A habitat direclty determined by a mollusc host (tax ID 7898, Mollusca)	Includes bivalves (mussels, clams, etc), gastropods (snails, slugs, etc), cephalopods (squid, octopus, etc), and further groups within the phylum Mollusca. As more respective data comes in, additional subcategories for these groups may be introduced in MICRONT in the future
host-associated	MICRONT:03020600	host-associated:animal host:coral host	coral host	MICRONT:03000000;MICRONT:03020000		ENVO:00000150	https://en.wikipedia.org/wiki/Coral	6101	MICRONT:02020000;MICRONT:02080300	#eae8e5	#252525	A habitat directly determined by a coral host (tax ID 6101, Anthrozoa)	More broadly includes coral reef habitats, i.e. not only habitats directly physically located on or in a coral host, but including the immediate surroundings.
host-associated	MICRONT:03020700	host-associated:animal host:sponge host	sponge host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Sponge	6040	MICRONT:02020000;MICRONT:02080300	#eede19	#252525	A habitat directly determined by a sponge host (tax ID 6040, Porifera)	More broadly includes not only habitats directly physically located on or in sponge tissue, but also immediate surroundings.
host-associated	MICRONT:03020800	host-associated:animal host:amphibian host	amphibian host	MICRONT:03000000;MICRONT:03020000			https://en.wikipedia.org/wiki/Amphibian	8292		#2E7D32	#f0f0f0	A habitat directly determined by an amphibian host (tax ID 8292, Amphibia)	Includes frogs, salamanders, etc
host-associated	MICRONT:03030100	host-associated:animal host:digestive tract	digestive tract	MICRONT:03000000;MICRONT:03020000	ENVO:01001033	UBERON:0001555				#d6604d	#f0f0f0	A habitat directly determined by a digestive tract, i.e. an animal's anatomical and physiological system for the digestion of food.	
host-associated	MICRONT:03030110	host-associated:animal host:digestive tract:mouth	mouth	MICRONT:03000000;MICRONT:03020000;MICRONT:03030100	ENVO:08000002	UBERON:0000165	https://en.wikipedia.org/wiki/Mouth			#f4a582	#252525	A habitat directly determined by an oral cavity.	Includes tongue, teeth, etc, but also secretions (saliva) and accretions (dental plaque, etc).
host-associated	MICRONT:03030111	host-associated:animal host:digestive tract:mouth:saliva	saliva	MICRONT:03000000;MICRONT:03020000;MICRONT:03030100;MICRONT:03030110	ENVO:02000036;UBERON:0001836		https://en.wikipedia.org/wiki/Saliva		MICRONT:03030500	#fddbc7	#252525	A bodily fluid secreted from specialized glands in the oral cavity. Usually involved in initial digestion steps, e.g. catalysing the breakdown of starch.	
host-associated	MICRONT:03030112	host-associated:animal host:digestive tract:mouth:ancient dental calculus	ancient dental calculus	MICRONT:03000000;MICRONT:03020000;MICRONT:03030100;MICRONT:03030110			https://en.wikipedia.org/wiki/Calculus_(dental)		MICRONT:09020402;MICRONT:09090100	#d3ccc6	#252525	Paleontological sample of calculus, i.e. accretions of multiple layers of hardened dental plaque.	
host-associated	MICRONT:03030120	host-associated:animal host:digestive tract:stomach	stomach	MICRONT:03000000;MICRONT:03020000;MICRONT:03030100		UBERON:0000945	https://en.wikipedia.org/wiki/Stomach			#d6604d	#f0f0f0	Hollow organ as part of a digestive tract, involved in the gastric phase of digestion, i.e. breakdown of food via secreted digestive enzymes and often via acidification.	
host-associated	MICRONT:03030130	host-associated:animal host:digestive tract:rumen	rumen	MICRONT:03000000;MICRONT:03020000;MICRONT:03030100		UBERON:0007365	https://en.wikipedia.org/wiki/Rumen		MICRONT:03020120	#b2182b	#f0f0f0	A specialized stomach in ruminants, involved in the breakdown of food including structural carbohydrates (such as celluloses) under the participation of microbial communities	Note: although the rumen is anatomically a stomach, its physiology is so different from other gastric organs that it is considered as a separate category (and not a subcategory of stomachs) in MICRONT.
host-associated	MICRONT:03030140	host-associated:animal host:digestive tract:intestine	intestine	MICRONT:03000000;MICRONT:03020000;MICRONT:03030100	ENVO:2100002	UBERON:0000160				#67001f	#f0f0f0	A series of specialized organs in the lower gastrointestinal tract, involved in the further digestion of chyme exiting from the stomach. The intestine generally spans from the exit of the stomach to the anus or rectum.	
host-associated	MICRONT:03030141	host-associated:animal host:digestive tract:intestine:feces	feces	MICRONT:03000000;MICRONT:03020000;MICRONT:03030100;MICRONT:03030140	ENVO:00002003		https://en.wikipedia.org/wiki/Feces			#4A2125	#f0f0f0	Solid or semisolid of non-digested food and shed host cells, excreted via the anus.	
host-associated	MICRONT:03030200	host-associated:animal host:urogenital tract	urogenital tract	MICRONT:03000000;MICRONT:03020000		UBERON:0004122	https://en.wikipedia.org/wiki/Genitourinary_system			#762a83	#f0f0f0	Primary sex organs of the reproductive system and organs of the urinary system.	
